"legacy_id","legacy_customer_id","new_customer_uuid","new_customer_code","new_traveller_uuid","customer_type","deduplicated_to_legacy_id","association_method"
"1848","43305","984b6fe8-cd5a-588e-a461-c8240e7fc082","LEGACY-43305-1848-1A835ED9","","RETAIL","","INDIVIDUAL"
"1849","65452","b134510a-86cb-56d7-a876-3dfedaa3f692","LEGACY-65452-1849-0861DE8A","","RETAIL","","INDIVIDUAL"
"1850","11177","8373f6cb-3ff3-500c-ba14-ba0af32d2b6d","LEGACY-11177-1850-880DAC1C","","RETAIL","","INDIVIDUAL"
"1851","55573","f07ec1d4-bab6-50d5-b16c-7de66606f47a","LEGACY-55573-1851-2913FB77","","RETAIL","","INDIVIDUAL"
"1852","69142","df086cf5-90a9-559f-878a-1c4a3b949955","LEGACY-69142-1852-30EB9F17","","RETAIL","","INDIVIDUAL"
"1853","10547","123a0758-9efd-5875-8882-94593b842ad1","LEGACY-10547-1853-410BF4F7","","RETAIL","","INDIVIDUAL"
"1854","19760","e7f80ce2-005d-503b-adcf-0802000c6f08","LEGACY-19760-1854-D8A14E19","","RETAIL","","INDIVIDUAL"
"1856","77465","827cc496-10f2-5b7f-ae25-228d69567aa7","LEGACY-77465-1856-537D0F40","","RETAIL","","INDIVIDUAL"
"1857","37265","a55e8be3-ff3d-5d47-a659-1592398f47e4","LEGACY-37265-1857-55A56C94","","RETAIL","","INDIVIDUAL"
"1858","32569","bb819097-9a05-5953-b4e5-391024b80618","LEGACY-32569-1858-33139F51","","RETAIL","","INDIVIDUAL"
"1859","81555","bddc982b-96f7-5b14-9b2c-3206e23e598a","LEGACY-81555-1859-F5B8D18E","","RETAIL","","INDIVIDUAL"
"1860","88595","266c24a6-c5f7-5eb2-b911-bc16db0cf8aa","LEGACY-88595-1860-9D3217BB","","RETAIL","","INDIVIDUAL"
"1861","83588","bc75ae5d-cf41-55ef-9b77-b56155a87da6","LEGACY-83588-1861-4841417A","","RETAIL","","INDIVIDUAL"
"1862","59610","f99401aa-47fe-5445-831d-f5d96542fbfd","LEGACY-59610-1862-BB84059E","","RETAIL","","INDIVIDUAL"
